timestamp,phase,dataset,task,stage,layer_seq_index,pct,repeats,accuracy,f1,epochs,best_ckpt,fig_loss,fig_metric,mae,rmse,neuron,recovery_epoch_95p,neurons,weight_mode,neuron_index,recovery_epoch_95,recovery_epoch_105pct
20250813-130212,healing,breast_cancer,clf,middle_weights_block_baseline,3,0.4,10.0,0.9534883720930232,0.9629629629629628,,,,,,,,,,block,,,
20250813-130212,healing,breast_cancer,clf,middle_weights_block_post_damage,3,0.4,10.0,0.9186046511627908,0.9369369369369368,,,,,,,,,,block,,,
20250813-130212,healing,breast_cancer,clf,middle_weights_block_healed_short,3,0.4,10.0,0.9418604651162792,0.9541284403669724,15.0,c:\Users\Admin\Desktop\ffnn-healing\models\heal_clf_middle_weights_block_p40_r10_short_20250813-130210_best.pt,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_middle_weights_block_p40_r10_short_loss.png,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_middle_weights_block_p40_r10_short_accuracy.png,,,,1.0,,block,,,
20250813-130212,healing,breast_cancer,clf,middle_weights_block_healed_long,3,0.4,10.0,0.9534883720930232,0.9636363636363636,44.0,c:\Users\Admin\Desktop\ffnn-healing\models\heal_clf_middle_weights_block_p40_r10_long_20250813-130211_best.pt,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_middle_weights_block_p40_r10_long_loss.png,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_middle_weights_block_p40_r10_long_accuracy.png,,,,1.0,,block,,,
20250813-132158,healing,breast_cancer,clf,baseline,9,,1.0,0.9534883720930232,0.9629629629629628,,,,,,,,,,,0.0,,
20250813-132158,healing,breast_cancer,clf,post_damage,9,,1.0,0.9418604651162792,0.9541284403669724,,,,,,,,,,,0.0,,
20250813-132158,healing,breast_cancer,clf,healed_short,9,,1.0,0.9651162790697676,0.972972972972973,10.0,c:\Users\Admin\Desktop\ffnn-healing\models\heal_clf_OUTPUT_singleN0_short_20250813-132156_best.pt,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_OUTPUT_singleN0_short_loss.png,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_OUTPUT_singleN0_short_accuracy.png,,,,,,,0.0,1.0,
20250813-132158,healing,breast_cancer,clf,healed_long,9,,1.0,0.9534883720930232,0.9636363636363636,29.0,c:\Users\Admin\Desktop\ffnn-healing\models\heal_clf_OUTPUT_singleN0_long_20250813-132157_best.pt,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_OUTPUT_singleN0_long_loss.png,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_OUTPUT_singleN0_long_accuracy.png,,,,,,,0.0,1.0,
20250813-133355,healing,breast_cancer,clf,baseline,9,1.0,1.0,0.9534883720930232,0.9629629629629628,,,,,,,,,,,,,
20250813-133355,healing,breast_cancer,clf,post_damage_pair,9,1.0,1.0,0.3720930232558139,0.0,,,,,,,,,,,,,
20250813-133355,healing,breast_cancer,clf,healed_short_pair,9,1.0,1.0,0.3720930232558139,0.0,9.0,c:\Users\Admin\Desktop\ffnn-healing\models\heal_clf_OUTPUT_pair_p100_r1_short_20250813-133353_best.pt,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_OUTPUT_pair_p100_r1_short_loss.png,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_OUTPUT_pair_p100_r1_short_accuracy.png,,,,,,,,,
20250813-133355,healing,breast_cancer,clf,healed_long_pair,9,1.0,1.0,0.3720930232558139,0.0,31.0,c:\Users\Admin\Desktop\ffnn-healing\models\heal_clf_OUTPUT_pair_p100_r1_long_20250813-133354_best.pt,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_OUTPUT_pair_p100_r1_long_loss.png,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_OUTPUT_pair_p100_r1_long_accuracy.png,,,,,,,,,
20250813-133917,healing,california_housing,reg,baseline,9,1.0,1.0,,,,,,,0.374850183725357,0.5373355181330539,,,,,,,
20250813-133917,healing,california_housing,reg,post_damage_pair,9,1.0,1.0,,,,,,,2.065962314605713,2.364426214120772,,,,,,,
